iter	Passed	Remaining
788	11067	16986
789	11084	16976
790	11100	16966
791	11113	16951
792	11128	16939
793	11142	16924
794	11156	16910
795	11169	16894
796	11183	16880
797	11195	16863
798	11209	16849
799	11223	16834
800	11236	16819
801	11251	16807
802	11269	16798
803	11282	16782
804	11297	16770
805	11310	16754
806	11322	16738
807	11338	16726
808	11351	16711
809	11364	16695
810	11375	16677
811	11388	16661
812	11402	16648
813	11416	16634
814	11431	16620
815	11443	16604
816	11456	16588
817	11469	16573
818	11483	16558
819	11497	16544
820	11510	16529
821	11523	16513
822	11535	16497
823	11549	16483
824	11564	16470
825	11578	16456
826	11591	16440
827	11604	16425
828	11617	16410
829	11631	16396
830	11646	16383
831	11660	16369
832	11674	16355
833	11686	16338
834	11699	16323
835	11713	16308
836	11727	16294
837	11740	16280
838	11753	16264
839	11765	16248
840	11777	16231
841	11791	16216
842	11805	16202
843	11818	16187
844	11830	16170
845	11843	16155
846	11855	16138
847	11869	16124
848	11882	16108
849	11897	16096
850	11914	16086
851	11930	16075
852	11943	16060
853	11957	16045
854	11970	16031
855	11984	16017
856	11998	16003
857	12012	15989
858	12025	15973
859	12039	15959
860	12053	15945
861	12068	15933
862	12080	15916
863	12094	15902
864	12108	15887
865	12121	15873
866	12132	15854
867	12144	15838
868	12154	15819
869	12168	15805
870	12179	15787
871	12193	15773
872	12205	15757
873	12219	15742
874	12232	15728
875	12246	15713
876	12261	15700
877	12276	15688
878	12291	15674
879	12305	15661
880	12318	15646
881	12333	15633
882	12346	15618
883	12359	15603
884	12372	15587
885	12387	15575
886	12400	15560
887	12411	15542
888	12424	15527
889	12436	15510
890	12450	15496
891	12463	15481
892	12477	15467
893	12491	15453
894	12503	15437
895	12516	15421
896	12529	15406
897	12544	15393
898	12558	15380
899	12573	15367
900	12584	15350
901	12598	15336
902	12612	15322
903	12626	15307
904	12638	15292
905	12651	15277
906	12664	15261
907	12677	15246
908	12689	15230
909	12703	15215
910	12716	15201
911	12733	15190
912	12748	15178
913	12763	15165
914	12776	15150
915	12789	15134
916	12802	15119
917	12816	15106
918	12831	15093
919	12843	15077
920	12857	15062
921	12872	15049
922	12886	15036
923	12899	15021
924	12913	15008
925	12928	14995
926	12944	14982
927	12958	14968
928	12969	14952
929	12984	14938
930	12997	14923
931	13011	14909
932	13025	14896
933	13038	14881
934	13053	14867
935	13067	14854
936	13080	14839
937	13094	14825
938	13106	14809
939	13119	14794
940	13134	14781
941	13148	14767
942	13161	14753
943	13175	14739
944	13189	14724
945	13202	14709
946	13215	14694
947	13229	14681
948	13242	14666
949	13256	14651
950	13269	14637
951	13285	14625
952	13299	14611
953	13313	14596
954	13328	14584
955	13341	14569
956	13356	14556
957	13370	14542
958	13383	14527
959	13397	14513
960	13409	14497
961	13423	14483
962	13440	14473
963	13455	14460
964	13470	14447
965	13484	14434
966	13496	14417
967	13509	14403
968	13523	14389
969	13535	14372
970	13550	14359
971	13564	14346
972	13577	14330
973	13589	14315
974	13601	14299
975	13614	14283
976	13627	14268
977	13639	14253
978	13654	14239
979	13665	14223
980	13679	14208
981	13694	14197
982	13709	14183
983	13723	14169
984	13738	14156
985	13752	14142
986	13766	14128
987	13780	14115
988	13795	14102
989	13809	14088
990	13824	14075
991	13838	14061
992	13851	14047
993	13866	14033
994	13880	14020
995	13894	14006
996	13907	13991
997	13922	13977
998	13936	13964
999	13950	13950
1000	13964	13936
1001	13979	13924
1002	13994	13910
1003	14008	13896
1004	14022	13882
1005	14036	13868
1006	14051	13855
1007	14065	13842
1008	14079	13828
1009	14093	13814
1010	14107	13800
1011	14121	13786
1012	14136	13773
1013	14149	13758
1014	14163	13744
1015	14178	13731
1016	14191	13717
1017	14205	13702
1018	14218	13687
1019	14231	13673
1020	14243	13658
1021	14258	13644
1022	14271	13630
1023	14284	13615
1024	14299	13601
1025	14311	13586
1026	14326	13572
1027	14341	13560
1028	14353	13544
1029	14366	13529
1030	14383	13518
1031	14397	13504
1032	14409	13489
1033	14421	13472
1034	14434	13458
1035	14446	13442
1036	14459	13427
1037	14473	13413
1038	14487	13399
1039	14500	13385
1040	14512	13369
1041	14525	13354
1042	14540	13341
1043	14553	13327
1044	14567	13312
1045	14581	13298
1046	14594	13284
1047	14607	13269
1048	14620	13254
1049	14632	13238
1050	14644	13223
1051	14656	13207
1052	14670	13193
1053	14683	13178
1054	14695	13163
1055	14709	13149
1056	14722	13134
1057	14736	13120
1058	14749	13105
1059	14762	13091
1060	14776	13077
1061	14789	13062
1062	14801	13047
1063	14814	13032
1064	14827	13017
1065	14840	13002
1066	14853	12988
1067	14866	12973
1068	14879	12958
1069	14893	12944
1070	14907	12930
1071	14921	12917
1072	14935	12903
1073	14948	12888
1074	14961	12873
1075	14975	12860
1076	14988	12845
1077	15001	12830
1078	15014	12815
1079	15027	12801
1080	15041	12787
1081	15054	12772
1082	15064	12755
1083	15072	12736
1084	15085	12721
1085	15095	12704
1086	15107	12688
1087	15120	12674
1088	15133	12660
1089	15146	12644
1090	15160	12631
1091	15174	12617
1092	15189	12604
1093	15206	12593
1094	15225	12583
1095	15242	12572
1096	15256	12558
1097	15269	12544
1098	15283	12530
1099	15296	12515
1100	15312	12502
1101	15324	12487
1102	15339	12474
1103	15353	12460
1104	15366	12446
1105	15381	12433
1106	15395	12419
1107	15409	12405
1108	15424	12392
1109	15437	12378
1110	15451	12364
1111	15465	12349
1112	15479	12336
1113	15494	12323
1114	15508	12309
1115	15523	12296
1116	15537	12282
1117	15551	12268
1118	15565	12255
1119	15577	12239
1120	15590	12224
1121	15603	12210
1122	15617	12196
1123	15631	12182
1124	15645	12168
1125	15656	12152
1126	15670	12138
1127	15683	12123
1128	15696	12109
1129	15711	12096
1130	15726	12083
1131	15742	12070
1132	15755	12056
1133	15768	12042
1134	15782	12028
1135	15796	12014
1136	15813	12002
1137	15825	11987
1138	15838	11972
1139	15851	11958
1140	15865	11944
1141	15879	11930
1142	15893	11916
1143	15908	11903
1144	15923	11890
1145	15936	11875
1146	15951	11862
1147	15965	11848
1148	15979	11834
1149	15994	11821
1150	16009	11808
1151	16022	11794
1152	16035	11779
1153	16050	11766
1154	16065	11753
1155	16078	11739
1156	16093	11725
