elapsed_ms,exg,label
44583,30623,blink
44603,30315,blink
44623,29084,blink
44643,26417,blink
44663,25362,blink
44683,23633,blink
44703,27589,blink
44723,27663,blink
44743,28659,blink
44763,28571,blink
44783,28585,blink
44803,28527,blink
44823,28161,blink
44843,18872,blink
44863,6504,blink
44883,6636,blink
44903,13596,blink
44924,24380,blink
44945,32703,blink
44966,36952,blink
44986,35663,blink
45006,36644,blink
45026,37069,blink
45046,33890,blink
45070,37025,blink
45138,30754,blink
45195,32439,blink
45216,32981,blink
45236,32600,blink
45256,34007,blink
45276,32996,blink
45296,31956,blink
45316,31897,blink
45336,31384,blink
45356,30388,blink
45376,27648,blink
45396,21508,blink
45416,5816,blink
45436,4585,blink
45456,9230,blink
45476,15545,blink
45496,25640,blink
45517,34388,blink
45538,38872,blink
45558,39721,blink
45578,38725,blink
45598,38754,blink
45618,38461,blink
45638,37098,blink
45658,35472,blink
45678,34447,blink
45698,34198,blink
45718,33567,blink
45738,33743,blink
45758,32410,blink
45778,33245,blink
45798,32117,blink
45818,32292,blink
45838,30432,blink
45858,30330,blink
45878,29552,blink
45898,30330,blink
45918,29508,blink
45938,29552,blink
45958,28703,blink
45978,29303,blink
45998,29157,blink
46018,30007,blink
46038,29816,blink
46058,29875,blink
46078,29054,blink
46098,29684,blink
46118,29479,blink
46138,29787,blink
46158,31223,blink
46178,30242,blink
46198,29611,blink
46218,29289,blink
46238,29508,blink
46258,28996,blink
46278,29450,blink
46298,27677,blink
46318,18651,blink
46338,4805,blink
46358,3897,blink
46378,7545,blink
46401,13552,blink
46422,22241,blink
46443,33215,blink
46464,38564,blink
46485,42374,blink
46505,42754,blink
46525,41685,blink
46546,38579,blink
46566,40673,blink
46586,38828,blink
46606,36058,blink
46626,37186,blink
46646,34857,blink
46666,34769,blink
46686,33523,blink
46706,34183,blink
46726,32512,blink
46746,32014,blink
46766,31604,blink
46786,32351,blink
46806,31487,blink
46826,31853,blink
46846,31165,blink
46866,31355,blink
46886,31077,blink
46906,30813,blink
46926,30549,blink
46946,28278,blink
46966,22579,blink
46986,6358,blink
47006,3603,blink
47026,6827,blink
47046,14314,blink
47067,24805,blink
47088,33142,blink
47109,39106,blink
47129,40395,blink
47149,40937,blink
47169,40058,blink
47189,39121,blink
47209,38227,blink
47229,37054,blink
47249,36556,blink
47269,35296,blink
47289,34666,blink
47309,33728,blink
47329,32952,blink
47349,32937,blink
47369,32966,blink
47389,30974,blink
47409,32761,blink
47429,31355,blink
47449,32249,blink
47469,31135,blink
47489,31750,blink
47509,29918,blink
47529,31487,blink
47549,30212,blink
47569,31267,blink
47589,30754,blink
47609,31238,blink
47632,30051,blink
47653,30872,blink
47673,29596,blink
47693,29669,blink
47713,28629,blink
47733,29962,blink
47753,29113,blink
47773,29215,blink
47793,29669,blink
47813,30007,blink
47833,30286,blink
47853,28219,blink
47873,27150,blink
47893,22930,blink
47913,10622,blink
47933,3941,blink
47954,7178,blink
47975,11853,blink
47996,20673,blink
48016,31912,blink
48036,39809,blink
48056,41319,blink
48076,41582,blink
48096,39794,blink
48116,39003,blink
48136,37978,blink
48156,36615,blink
48176,35721,blink
48196,33875,blink
48216,33289,blink
48236,32307,blink
48256,32776,blink
48276,32703,blink
48296,31941,blink
48316,31882,blink
48336,30710,blink
48356,31033,blink
48376,30520,blink
48396,30696,blink
48416,30388,blink
48436,28161,blink
48456,24380,blink
48476,9669,blink
48496,4820,blink
48516,9259,blink
48536,17977,blink
48556,28336,blink
48576,35384,blink
48597,38315,blink
48618,39062,blink
48639,37773,blink
48659,38183,blink
48679,36776,blink
48699,38110,blink
48719,35516,blink
48739,34505,blink
48759,33890,blink
48779,33274,blink
48799,32878,blink
48819,32190,blink
48842,32395,blink
48863,31252,blink
48883,31370,blink
48903,30769,blink
48923,32131,blink
48943,30769,blink
48963,31106,blink
48983,30388,blink
49003,30959,blink
49023,30476,blink
49043,30256,blink
49063,30945,blink
49083,30271,blink
49103,30198,blink
49123,30535,blink
49143,30813,blink
49163,30959,blink
49186,30154,blink
49252,28659,blink
49273,29582,blink
49294,29362,blink
49314,28307,blink
49334,15501,blink
49354,5933,blink
49374,7325,blink
49394,13992,blink
49414,24322,blink
49434,32585,blink
49455,36981,blink
49476,37670,blink
49497,37054,blink
49517,37729,blink
49537,36205,blink
49557,36659,blink
49577,35428,blink
49597,34066,blink
49617,34491,blink
49637,32791,blink
49657,32043,blink
49677,32468,blink
49697,31472,blink
49717,31970,blink
49737,30974,blink
49757,31033,blink
49777,30535,blink
49797,30725,blink
49817,30740,blink
49837,30447,blink
49857,30300,blink
49877,31267,blink
49897,29245,blink
49917,29215,blink
49937,27633,blink
49957,20791,blink
49977,8014,blink
49997,7046,blink
50017,13025,blink
50038,20292,blink
50059,31208,blink
50080,35545,blink
50100,37025,blink
50157,37626,blink
50178,37802,blink
50198,36439,blink
50218,36395,blink
50239,35106,blink
50259,34505,blink
50279,33596,blink
50299,33025,blink
50319,32336,blink
50339,31384,blink
