elapsed_ms,exg,label
17152,30593,rest
17172,30520,rest
17192,31062,rest
17212,29655,rest
17232,30198,rest
17252,29142,rest
17272,29552,rest
17292,29318,rest
17312,31077,rest
17332,29728,rest
17352,29171,rest
17372,29259,rest
17392,29962,rest
17412,29640,rest
17432,30051,rest
17452,30124,rest
17472,30608,rest
17492,29816,rest
17512,29040,rest
17532,29171,rest
17552,27912,rest
17572,26241,rest
17592,11340,rest
17612,4717,rest
17632,6417,rest
17652,12219,rest
17672,21582,rest
17692,27853,rest
17712,36629,rest
17732,40351,rest
17752,39619,rest
17772,38403,rest
17792,38945,rest
17812,38183,rest
17832,36483,rest
17852,35370,rest
17872,34007,rest
17892,34461,rest
17915,32878,rest
17936,32483,rest
17956,32161,rest
17976,31882,rest
17996,30696,rest
18016,30901,rest
18036,31355,rest
18056,30725,rest
18076,30110,rest
18096,29479,rest
18116,29084,rest
18136,28307,rest
18156,17523,rest
18176,4922,rest
18196,5142,rest
18216,10241,rest
18236,19545,rest
18256,27838,rest
18276,35750,rest
18296,37259,rest
18316,38139,rest
18336,38051,rest
18356,35794,rest
18376,36527,rest
18396,36688,rest
18416,36410,rest
18436,35370,rest
18456,34022,rest
18476,33596,rest
18496,32747,rest
18516,31619,rest
18536,31560,rest
18556,30359,rest
18576,29801,rest
18596,29582,rest
18616,27882,rest
18636,27619,rest
18656,27985,rest
18676,28454,rest
18696,29171,rest
18716,28190,rest
18736,29420,rest
18756,29318,rest
18776,28981,rest
18796,28542,rest
18816,28864,rest
18842,29743,rest
18862,29157,rest
18882,29201,rest
18902,29479,rest
18922,29669,rest
18942,30066,rest
18962,30579,rest
18982,30696,rest
19002,31194,rest
19022,30110,rest
19042,30007,rest
19062,26256,rest
19082,18872,rest
19102,3134,rest
19125,3926,rest
19146,8043,rest
19166,12366,rest
19186,15912,rest
19206,19121,rest
19226,24922,rest
19246,29889,rest
19266,36791,rest
19286,41875,rest
19306,44249,rest
19327,43912,rest
19347,43589,rest
19367,42154,rest
19387,40351,rest
19407,40205,rest
19427,38242,rest
19447,35531,rest
19467,35370,rest
19487,34637,rest
19507,34256,rest
19527,33245,rest
19547,32278,rest
19567,32000,rest
19587,31267,rest
19607,32117,rest
19627,31355,rest
19647,31868,rest
19667,30930,rest
19687,32424,rest
19707,29494,rest
19727,29596,rest
19747,28336,rest
19767,25333,rest
19787,8688,rest
19807,3134,rest
19827,4937,rest
19847,10490,rest
19867,17450,rest
19887,27970,rest
19907,37010,rest
19927,41186,rest
19947,42535,rest
19967,42872,rest
19987,41451,rest
20007,41289,rest
20027,39501,rest
20047,38227,rest
20067,37230,rest
20087,36805,rest
20107,35531,rest
20127,35135,rest
20147,33215,rest
20167,32981,rest
20187,32410,rest
20207,31838,rest
20227,29801,rest
20247,31003,rest
20267,30916,rest
20287,30754,rest
20307,29303,rest
20327,30286,rest
20383,31018,rest
20404,30286,rest
20425,30256,rest
20447,28820,rest
20502,30535,rest
20523,29655,rest
20544,29347,rest
20564,29655,rest
20584,28629,rest
20604,25420,rest
20624,10578,rest
20644,4644,rest
20664,4878,rest
20684,10841,rest
20704,19663,rest
20724,30344,rest
20744,37582,rest
20764,41553,rest
20784,42022,rest
20804,40542,rest
20824,40131,rest
20844,37846,rest
20864,37084,rest
20884,35355,rest
20904,34476,rest
20924,34696,rest
20944,33420,rest
20964,33494,rest
20984,33245,rest
21004,32146,rest
21024,32336,rest
21044,31575,rest
21064,31560,rest
21084,30007,rest
21104,30022,rest
21124,29523,rest
21144,30286,rest
21164,26901,rest
21184,13157,rest
21204,2797,rest
21224,4483,rest
21244,9025,rest
21264,18402,rest
21284,28249,rest
21304,37875,rest
21324,41363,rest
21344,42051,rest
21364,41963,rest
21384,41319,rest
21404,38491,rest
21424,36761,rest
21444,34828,rest
21464,33831,rest
21484,33640,rest
21504,30725,rest
21524,30110,rest
21544,30696,rest
21564,30608,rest
21584,30842,rest
21604,30535,rest
21627,28659,rest
21648,28629,rest
21669,28366,rest
21689,28439,rest
21709,28703,rest
21729,30652,rest
21749,30769,rest
21769,30227,rest
21789,29655,rest
21809,29347,rest
21829,29215,rest
21849,29245,rest
21869,29376,rest
21889,29259,rest
21909,29801,rest
21929,29318,rest
21949,28864,rest
21969,28834,rest
21989,27838,rest
22009,28043,rest
22029,28410,rest
22049,26974,rest
22069,17640,rest
22089,3076,rest
22109,3325,rest
22129,7824,rest
22149,15370,rest
22169,23648,rest
22189,31956,rest
22209,36029,rest
22229,38930,rest
22249,37993,rest
22269,38037,rest
22289,37626,rest
22309,37420,rest
22329,36366,rest
22349,35384,rest
22369,34637,rest
22389,33450,rest
22409,33186,rest
22429,32249,rest
22449,31765,rest
22469,31677,rest
22489,31121,rest
22509,31091,rest
22529,30535,rest
22549,30769,rest
22569,29801,rest
22589,29801,rest
22609,29406,rest
22629,28966,rest
22649,28336,rest
22669,25362,rest
22689,12205,rest
22709,3105,rest
22729,4205,rest
22749,10710,rest
22769,19853,rest
22789,26930,rest
22809,33552,rest
22832,37861,rest
22853,38095,rest
22874,38095,rest
22894,38549,rest
22914,38227,rest
22934,37025,rest
22954,36322,rest
22974,36205,rest
22994,34198,rest
23014,33758,rest
23034,33025,rest
23054,32585,rest
23074,31721,rest
23094,31545,rest
23114,31487,rest
23134,31487,rest
23154,30857,rest
23174,30095,rest
23194,29201,rest
23214,30417,rest
23234,30242,rest
23254,30139,rest
23274,30520,rest
23294,30461,rest
23314,30212,rest
23334,29699,rest
23354,29435,rest
23374,30066,rest
23394,29142,rest
23414,28629,rest
23434,29171,rest
23454,28805,rest
23474,29347,rest
23494,30022,rest
23514,29289,rest
23534,29274,rest
23554,29948,rest
23574,29494,rest
23594,29494,rest
23615,29303,rest
23635,27692,rest
23655,20131,rest
23675,5347,rest
23695,4292,rest
23715,8878,rest
23735,14050,rest
23755,20688,rest
23775,28483,rest
23795,34798,rest
23815,38886,rest
23835,40029,rest
23855,40292,rest
23875,39121,rest
23895,38344,rest
23915,38403,rest
23935,36058,rest
23955,35853,rest
23975,34374,rest
23995,33802,rest
24015,33259,rest
24035,30154,rest
24058,32102,rest
24079,31414,rest
24099,31926,rest
24119,32249,rest
24139,32542,rest
24159,31824,rest
24179,31150,rest
24199,29816,rest
24219,26798,rest
24239,12512,rest
24259,4483,rest
24279,6299,rest
24299,12395,rest
24319,20512,rest
24339,30388,rest
24359,36585,rest
24379,41010,rest
24399,40498,rest
24419,40351,rest
24439,39824,rest
24459,39619,rest
24479,37171,rest
24502,36087,rest
24570,33538,rest
24591,32424,rest
24612,32673,rest
24632,32205,rest
24652,31443,rest
24672,31531,rest
24692,31091,rest
24712,30432,rest
24732,31619,rest
24752,30535,rest
