timestamp,emg1,emg2,emg3,label
2843086,4497,38105,38361,11
2843091,5329,41546,39609,11
2843096,4177,43594,40073,11
2843101,3408,39257,36344,11
2843106,4657,38889,42106,11
2843111,5553,41130,43098,11
2843116,5089,44362,42330,11
2843121,3088,41178,30407,11
2843126,4961,37113,38841,11
2843131,6321,41978,41450,11
2843136,6385,41098,41674,11
2843141,6273,38809,39305,11
2843146,5857,37049,40041,11
2843151,3552,43194,39945,11
2843156,7121,45067,40873,11
2843161,7889,39465,31879,11
2843166,7761,36584,43178,11
2843171,7025,41194,40761,11
2843176,8145,44410,37129,11
2843181,6449,40441,35624,11
2843186,4737,36504,40841,11
2843191,2432,41306,40169,11
2843196,7793,43914,45371,11
2843201,4337,38377,35832,11
2843206,6657,37609,38393,11
2843211,7121,43050,39273,11
2843216,5441,43770,40345,11
2843221,5649,39673,35592,11
2843226,4993,38345,44234,11
2843231,3184,40905,41914,11
2843236,4593,44474,36921,11
2843241,6209,38857,35576,11
2843248,4449,39065,38377,11
2843253,6513,44682,33704,11
2843258,2448,40153,40137,11
2843263,4241,34120,43162,11
2843268,3504,39577,39737,11
2843273,8818,42762,50940,11
2843278,5841,43610,34984,11
2843283,6641,39257,29335,11
2843288,3776,39785,40905,11
2843293,8946,42666,40793,11
2843298,6849,41386,40457,11
2843303,12723,32695,40665,11
2843308,10370,41258,42714,11
2843313,7681,45835,42858,11
2843318,7153,42042,40505,11
2843323,8065,40889,32055,11
2843328,6945,39817,37881,11
2843333,8690,42602,38921,11
2843338,4449,41482,38217,11
2843343,10818,35288,38185,11
2843348,3216,39129,40473,11
2843353,5745,46299,44746,11
2843358,3984,42010,38777,11
2843363,4353,39753,31719,11
2843368,7809,39113,37321,11
2843373,5985,46187,35256,11
2843378,3408,40201,39449,11
2843383,6913,36536,39609,11
2843388,7441,40489,41674,11
2843393,11090,45643,47643,11
2843398,6961,42890,33208,11
2843403,6257,37193,33912,11
2843408,6465,39721,40313,11
2843413,8434,44074,40313,11
2843418,3472,41002,39945,11
2843423,12547,34600,39753,11
2843464,9714,34504,38121,11
2843469,8850,40665,45611,11
2843474,7649,47243,40105,11
2843479,5585,41050,36360,11
2843484,3888,35400,43754,11
2843489,3552,41290,41018,11
2843494,12323,44026,37529,11
2843499,4385,40233,38761,11
2843504,8242,38089,42282,11
2843509,6625,39161,47739,11
2843514,3888,45499,45899,11
2843519,5857,44618,29463,11
2843524,4897,34776,40713,11
2843529,5185,40681,41018,11
2843534,2544,45307,38937,11
2843539,3248,40601,38825,11
2843544,9378,36280,40345,11
2843549,9554,38825,46411,11
2843554,3648,45034,42058,11
2843559,2880,42698,39241,11
2843564,5329,38233,33640,11
2843569,4016,40521,34632,11
2843574,4000,42794,45595,11
2843579,3312,38041,45899,11
2843584,8017,36824,39401,11
2843589,4433,41354,39593,11
2843594,7761,47835,38617,11
2843599,8594,38825,46411,11
2843604,9010,35944,36873,11
2843609,2816,40233,39897,11
2843614,10258,43994,38665,11
2843619,4689,41610,38073,11
2843624,9730,36216,40825,11
2843629,11826,43322,45723,11
2843634,9186,44298,43402,11
2843639,9826,42090,34040,11
2843646,11986,35928,41290,11
2843651,10882,41050,40377,11
2843656,3856,44410,38169,11
2843661,9954,41594,38313,11
2843666,8530,37977,38601,11
2843671,8001,39785,39577,11
2843676,6945,44954,44906,11
2843681,6433,41418,39593,11
2843686,5649,38905,35080,11
2843691,9842,40137,39513,11
2843696,8466,43498,40201,11
2843701,7249,41002,36921,11
2843706,5185,37961,41626,11
2843711,5057,41050,41658,11
2843716,9250,43770,43434,11
2843721,7009,43098,38297,11
2843726,10098,37401,37753,11
2843731,10658,39081,39593,11
2843736,9554,43674,41658,11
2843741,18516,41402,41162,11
2843746,9122,35656,38905,11
2843751,3088,39737,42650,11
2843756,16548,47035,38713,11
2843761,19636,39497,38889,11
2843766,20388,35928,40329,11
2843771,11058,39337,41354,11
2843776,10018,42858,38697,11
2843781,7969,41322,37641,11
2843786,4929,36856,38217,11
2843791,1808,40537,38793,11
2843796,8802,44954,41450,11
2843801,16948,45195,37769,11
2843806,19204,38313,37545,11
2843811,21861,42106,30823,11
2843816,20372,42538,44794,11
2843821,19684,40665,37369,11
2843828,3760,35480,40921,11
2843833,19156,45243,43242,11
2843838,19460,40361,42202,11
2843843,13939,35208,45499,11
2843848,21781,37273,40697,11
2843853,15203,39513,36312,11
2843858,11426,38489,42154,11
2843863,16900,33560,43066,11
2843868,5585,39321,38297,11
2843873,16099,41898,43482,11
2843878,10114,41402,38121,11
2843883,6145,37977,36889,11
2843888,9618,37273,41818,11
2843893,7281,42554,39721,11
2843898,10626,40665,40473,11
2843903,14979,35304,39497,11
2843908,13315,38441,41162,11
2843913,11474,44138,37721,11
2843918,8049,42154,38745,11
2843923,8081,37641,40921,11
2843928,9394,40553,37129,11
2843933,7361,41818,39161,11
2843938,3856,41418,39881,11
2843943,12947,37273,36280,11
2843948,5121,37913,39593,11
2843953,5905,41866,40777,11
2843958,7009,40921,40873,11
2843963,15123,35336,40297,11
2843968,9202,38969,38681,11
2843973,6753,42762,34248,11
2843978,8754,39833,40425,11
2843983,8418,39433,38873,11
2843988,6801,38249,41674,11
2843993,7169,42922,42858,11
2843998,4193,43034,37737,11
2844003,5377,38297,37945,11
2844010,8674,40185,39177,11
2844015,10050,42458,41866,11
2844020,9746,39513,39209,11
2844025,12515,36344,37609,11
2844030,2384,41018,40537,11
2844035,9026,43194,40809,11
2844040,6481,39113,41002,11
2844045,2992,38441,37849,11
2844050,16516,40681,41546,11
2844055,19876,42474,43898,11
2844060,16564,39449,39673,11
2844065,12611,35640,38601,11
2844070,13203,41386,41418,11
2844075,14179,44762,41130,11
2844080,16163,39225,40265,11
2844085,3728,36808,34760,11
2844090,3696,40841,40569,11
2844095,8290,42890,40970,11
2844100,7601,38777,41498,11
2844105,7441,36328,36953,11
2844110,4961,39769,42122,11
2844115,7025,44026,43258,11
2844120,3904,39737,41258,11
2844125,10770,36680,37689,11
2844130,5057,41834,41610,11
2844135,2880,43274,40361,11
2844140,5169,38537,39257,11
2844145,12403,37737,38409,11
2844150,11490,39577,41658,11
2844155,2800,42730,41178,11
2844160,5105,40441,40073,11
2844165,9346,38441,39817,11
2844170,7649,39209,40105,11
2844175,7457,43514,43946,11
2844180,7073,40121,39801,11
2844185,9858,36296,40409,11
2844192,10162,38777,41690,11
2844230,3728,38873,43802,11
2844235,4513,44010,41978,11
2844240,6065,45323,32359,11
2844245,8386,37689,40281,11
2844250,4273,38729,39433,11
2844255,7409,44026,44362,11
2844260,6689,39769,41130,11
2844265,2848,37369,36408,11
2844270,10002,40649,43146,11
2844275,6305,43722,43706,11
2844280,7985,39625,37097,11
2844285,6097,36744,34440,11
2844290,6033,38665,41930,11
2844295,8738,45771,43338,11
2844300,5809,38969,39641,11
2844305,4689,37177,40617,11
2844310,10114,39177,44538,11
2844315,6705,46891,39625,11
2844320,5521,41066,33288,11
2844325,6065,38633,38553,11
2844330,4577,39065,38825,11
2844335,3216,42266,42634,11
2844340,6321,40889,39577,11
2844345,10594,37401,40553,11
2844350,5825,37449,43562,11
2844355,4337,42394,45723,11
2844360,4753,40986,38345,11
2844365,5617,38841,39913,11
2844370,4865,37929,42442,11
2844375,3808,43338,39433,11
2844380,5905,41050,38569,11
2844385,3680,38345,39465,11
2844390,3616,38441,39849,11
2844395,8994,44298,45339,11
2844400,2768,40473,38889,11
2844405,3408,38569,37033,11
2844412,12899,38489,37097,11
2844417,5297,43690,38857,11
2844422,7041,39897,40569,11
2844427,4881,37769,40393,11
2844432,4673,38617,45531,11
2844437,5425,43562,39049,11
2844442,9138,41482,32695,11
2844447,9986,38041,35144,11
2844452,6673,37929,40633,11
2844457,9378,44842,40217,11
2844462,11874,41370,43962,11
2844467,4545,38329,36696,11
2844472,9554,39897,43546,11
2844477,3104,44986,39609,11
2844482,4993,42634,30439,11
2844487,4433,37369,39113,11
2844492,2800,39689,39769,11
2844497,9858,42778,41754,11
2844502,11874,40665,40585,11
2844507,6273,37113,39529,11
2844512,5761,39945,41098,11
2844517,7041,45227,41802,11
2844522,8065,41066,44778,11
2844527,7473,38249,37065,11
2844532,6289,38857,37497,11
2844537,9346,43162,39353,11
2844542,7985,40297,41450,11
2844547,5857,37129,40393,11
2844552,5057,37881,42266,11
2844557,5761,44506,43850,11
2844562,13411,46107,35864,11
2844567,8161,36840,37321,11
2844572,3472,39897,39017,11
2844577,6785,42330,39497,11
2844582,9746,37913,48075,11
2844587,2976,38937,36408,11
2844594,3408,41594,42714,11
2844599,2880,43658,33880,11
2844604,4641,37081,39529,11
2844609,7665,38585,41930,11
2844614,9474,42394,39129,11
2844619,9986,41994,41450,11
2844624,11074,40873,32888,11
2844629,12547,38601,41706,11
2844634,6161,39401,41994,11
2844639,11346,46907,34936,11
2844644,3984,37257,37689,11
2844649,13731,37625,40153,11
